Aberdeen,Anderson Park,SD,,1
Abilene,Everman Park Downtown,TX,,2
Adrian,Old Lenawee County Courthouse,MI,,3
Akron,Main and Mill,OH,,4
Alameda,Intersection of Park St. & Santa Clara Ave.,CA,,5
Alamosa,Cole Park,CO,,6
Alamogordo,White Sands Boulevard,NM,,7
Albany,West Capitol Park,NY,,8
Albany,Linn County Courthouse,OR,,9
Albert Lea,Freeborn County Detention Center,MN,,10
Albuquerque,Civic Plaza,NM,,11
Alexandria,Kingstowne Towne Center (glassy area),VA,,12
Alliance,Box Butte County Courthouse,NE,,13
Alpine,Brewster County Courthouse lawn,TX,,14
Alvarado,Prairieland Detention Center,TX,,15
Amarillo,Sanborn Park,TX,,16
Ambler,Kohler Park Horsham,PA,,17
Anacortes,Corner of 12th and Commercial,WA,,18
Anchorage,Delaney Park Strip,AK,,19
Andalusia,Court Square,AL,,20
Anderson,Dickmann Town Center Park,IN,,21
Andover,Intersection of rt. 133 and rt. 28 (Shawsheen Square),MA,,22
Angels Camp,Utica Park,CA,,23
Angola,First Congregational United Church of Christ,IN,,24
Ann Arbor,The Diag,MI,,25
Antler,,ND,,26
Appleton,Houdini Plaza,WI,,27
Arkville,,NY,,28
Arlington Heights,Village Hall; North School Park,IL,,29
Asbury Park,Springwood Park,NJ,,30
Asheville,68 Haywood,NC,,31
Ashland,Ashland County Courthouse Lawn,WI,,32
Astoria,"Astoria, 16th and Marine Drive, river side",OR,,33
Athens,UGA Arch,GA,,34
Atlanta,Atlanta City Detention Center,GA,,35
Auburn,Toomer's Corner,AL,,36
Auburn,Longley Bridge,ME,,37
Augusta,Maine State House,ME,,38
Aurora,,CO,,39
Aurora,City Hall,IL,,40
Austin,Texas State Capitol,TX,,41
Avalon,Casino Building to Wrigley Stage,CA,,42
Bainbridge Island,Waypoint Park,WA,,43
Bakersfield,ICE Office 800 Truxtun Ave,CA,,44
Baltimore,Patterson Park,MD,,45
Bangor,Cascade Park,ME,,46
Bar Harbor,Bar Harbor Village Green,ME,,47
Barnstable,Barnstable Village,MA,,48
Barnstable,Unitarian Church of Barnstable,MA,,49
Barrington,In front of Rep. Peter Roskam's Barrington Office,IL,,50
Barstow,Fountain next to Union Bank,CA,,51
Bath,"In front of the Customs House, on Front Street ",ME,,52
Baton Rouge,US Border Patrol Office,LA,,53
Battle Creek,Calhoun County Justice Center,MI,,54
Bay St Louis + Pass Christian,Bay Bridge,MS,,55
Bayside,"Bell Blvd LIRR entrance, West Side of Street",NY,,56
Beacon,Polhill Park,NY,,57
Beaver,Beaver County Court House,PA,,58
Bedminster,Clarence Dillon Public Library,NJ,,59
Belchertown,Belchertown Common,MA,,60
Bellingham,Bellingham City Hall,WA,,61
Bend,NW Greenwood Ave & NW Bond St (NE Corner) - Diagonal from Walden's office,OR,,62
Berkeley,"Old City Hall Steps, 2134 Martin Luther King Jr Way",CA,,63
Bethlehem,Payrow Plaza,PA,,64
Big Rapids,Big Rapids Community Library,MI,,65
Billings,Yellowstone County Courthouse,MT,,66
Binghamton,Federal Building,NY,,67
Birmingham,Caldwell Park,AL,,68
Bisbee,Iron man statue/ Coshise County Court House,AZ,,69
Bishop,Bishop Park,CA,,70
Bloomington,Monroe County Courthouse,IN,,71
Bluffton,Bluffton Village Town Center,SC,,72
Boca Raton,Sanborn Square,FL,,73
Boise,Idaho State Capitol Building,ID,,74
Bonney Lake,18211 State Route 410 E,WA,,75
Bordentown,,NJ,,76
Boston,City Hall Plaza,MA,,77
Boston,South Bay House of Correction,MA,,78
Bothell,Intersection of Bothell Way NE and Woodinville Drive,WA,,79
Boulder,Unitarian Universalist Church of Boulder,CO,,80
Boulder,Walk around Thunderbird Lake at Frasier Meadows Retirement Community,CO,,81
Boulder City,,NV,,82
Bowling Green,Senator Rand Paul’s Office,KY,,83
Bowling Green,BG Green Space (Wooster Green),OH,,84
Bozeman,Bozeman Public Library,MT,,85
Brainerd,Along Washington Street near Brainerd Historic Water Tower,MN,,86
Brattleboro,Brattleboro Common,VT,,87
Bremerton,Evergreen Rotary Park,WA,,88
Brenham,Town Square,TX,,89
