City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,Actor,Claim,pro_anti_flag,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,File,address,Address,Latitude,Longitude
Anchorage,Clark Middle School,AK,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,indivisible website list,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,South Anchorage High School,AK,US, 4/20/2018,about 200,200,,200,students,Pro-gun control,Pro-Gun Reform,walkout,0,0,0,0,0,1,http://www.yourerie.com/news/local-news/over-400-students-at-fairview-hs-hold-rally-speaking-of-kindness-mental-health-and-activism/1131677931,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,AJ Diamond High School,AK,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,0,1,indivisible website list,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,Bartlett High School,AK,US, 4/20/2018,about 400,400,,400,students,Pro-gun control,Pro-Gun Reform,walkout,0,0,0,0,0,1,http://www.yourerie.com/news/local-news/over-400-students-at-fairview-hs-hold-rally-speaking-of-kindness-mental-health-and-activism/1131677931,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,East High School,AK,US, 4/20/2018,roughly 200,200,,200,students,Pro-gun control,Pro-Gun Reform,walkout,0,0,0,0,0,1,https://www.adn.com/alaska-news/education/2018/04/20/anchorage-high-school-students-are-leaving-their-classes-friday-as-part-of-nationwide-protest-over-gun-violence/,http://www.ktva.com/story/38005848/anchorage-high-schools-join-national-school-walkout,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,West High School,AK,US, 4/20/2018,roughly 200,200,,200,students,Pro-gun control,Pro-Gun Reform,walkout,0,0,0,0,0,1,https://www.adn.com/alaska-news/education/2018/04/20/anchorage-high-school-students-are-leaving-their-classes-friday-as-part-of-nationwide-protest-over-gun-violence/,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,Eagle River High School,AK,US, 4/20/2018,roughly 45,45,,45,students,Pro-gun control,Pro-Gun Reform,walkout,0,0,0,0,0,1,https://www.adn.com/alaska-news/education/2018/04/20/anchorage-high-school-students-are-leaving-their-classes-friday-as-part-of-nationwide-protest-over-gun-violence/,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,Robert Service High School,AK,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Anchorage,Goldenview Middle School,AK,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Fairbanks,Hutchison High School,AK,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Fairbanks , AK, US","Fairbanks, AK, USA",64.8377778,-147.7163888
Fairbanks,Lathrop HS,AK,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,https://twitter.com/lanis_81/status/987491860791812096,,,,April,"Fairbanks , AK, US","Fairbanks, AK, USA",64.8377778,-147.7163888
St Davids,Walton Patio at Eastern University,AK,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"St Davids , AK, US","North, 2301 Wasilla-Fishhook Rd, Wasilla, AK 99654, United States",61.6044831,-149.4138988
Auburn,Auburn High School,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Auburn , AL, US","Auburn, AL, USA",32.6098566,-85.4807825
Birmingham,Railroad Park,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Birmingham , AL, US","Birmingham, AL, USA",33.5185892,-86.8103567
Carbon Hill,Carbon Hill HS,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Carbon Hill , AL, US","Carbon Hill, AL 35549, USA",33.8917742,-87.5261236
Daphne,Daphne High School,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Daphne , AL, US","Daphne, AL, USA",30.6035255,-87.9036047
Demopolis,Demopolis High School,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Demopolis , AL, US","Demopolis, AL, USA",32.5176361,-87.836402
Gardendale ,Gardendale High School,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Gardendale  , AL, US","Gardendale, AL, USA",33.6601033,-86.8127702
Hoover,Hoover HS,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Hoover , AL, US","Hoover, AL, USA",33.4053867,-86.8113781
Huntsville,New Century Technology HS,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,http://whnt.com/2018/04/20/north-alabama-students-participate-in-national-student-walkout/,,,,April,"Huntsville , AL, US","Huntsville, AL, USA",34.7303688,-86.5861037
Huntsville,Virgil I. Grissom High School,AL,US, 4/20/2018,,,,,students,support gun reform and school safety,Pro-Gun Reform,walkout,,,,,,1,Indivisible website list,,,,April,"Huntsville , AL, US","Huntsville, AL, USA",34.7303688,-86.5861037
