City,State,Blurb,Crowd size estimate (low),Crow size estimate (high),Event Type,Source,y,x,Crowd Size (mean estimate)
Aberdeen,SD,around 70,70,70,protest,https://act.moveon.org/event/families-belong-together/20643/signup/?source=&s=,45.4584028,-98.4682894,70
Abilene,TX,FB: 156,156,156,protest,https://act.moveon.org/event/families-belong-together/19993/signup/?source=&s=,32.452993,-99.750192,156
Adrian,MI,nearly 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20389/signup/?source=&s=,41.9021104,-84.035391,100
Akron,OH,about 200,200,200,protest,https://www.news5cleveland.com/news/local-news/akron-canton-news/200-in-akron-protest-immigrant-children-being-separated-from-their-parents-when-seeking-asylum,41.100667,-81.635081,200
Alameda,CA,about 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20559/signup/?source=&s=,37.770038,-122.252805,300
Alamosa,CO,,,,protest,https://act.moveon.org/event/families-belong-together/20162/signup/?source=&s=,37.4721756,-105.8631372,
Alamogordo,NM,about 75,75,75,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,32.8985427,-106.287453,75
Albany,NY,over 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20369/signup/?source=&s=,42.6533363,-73.7586758,100
Albany,OR,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20097/signup/?source=&s=,44.6343037,-123.1070575,200
Albert Lea,MN,about 100,100,100,protest,https://act.moveon.org/event/families-belong-together/19997/signup/?source=&s=,43.653512,-93.356453,100
Albuquerque,NM,na,5000,5000,protest,https://act.moveon.org/event/families-belong-together/19877/signup/?source=&s=,35.0873598,-106.6506562,5000
Alexandria,VA,estimated 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20036/signup/?source=&s=,38.80484,-77.04692,300
Alliance,NE,FB: 24,24,24,protest,https://www.facebook.com/events/184566742232921/,42.0996554,-102.8702765,24
Alpine,TX,roughly 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20310/signup/?source=&s=,29.330294,-103.602343,150
Alvarado,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20473/signup/?source=&s=,32.609867,-97.097432,
Amarillo,TX,several dozens,36,36,protest,https://act.moveon.org/event/families-belong-together/20487/signup/?source=&s=,35.218923,-101.812587,36
Ambler,PA,,,,protest,https://act.moveon.org/event/families-belong-together/20542/signup/?source=&s=,40.156815,-75.217447,
Anacortes,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20002/signup/?source=&s=,48.502063,-122.612742,
Anchorage,AK,hundreds; FB: 348,200,348,protest,https://act.moveon.org/event/families-belong-together/20065/signup/?source=&s=,61.2131073,-149.8976409,274
Andalusia,AL,,,,protest,https://act.moveon.org/event/families-belong-together/20138/signup/?source=&s=,31.3080376,-86.482085,
Anderson,IN,around 60,60,60,protest,http://www.heraldbulletin.com/news/local_news/residents-community-members-gather-to-support-immigrant-children/article_48062ee0-c92c-5069-9e38-c931def9ac59.html,40.1042018,-85.6795942,60
Andover,MA,FB: 35,35,35,protest,https://act.moveon.org/event/families-belong-together/20573/signup/?source=&s=,42.660477,-71.166479,35
Angels Camp,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20364/signup/?source=&s=,38.071472,-120.542568,
Angola,IN,over 60,60,60,protest,https://www.facebook.com/CCCSteuben/?hc_ref=ARQU573It_Hywhe-nCGIAnIxcLCqXuNC2lJX6UFU0BMiQJT45mC1uzbZC6XfQ73bdHY&fref=nf,41.6349549,-85.0026547,60
Ann Arbor,MI,thousands,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19847/signup/?source=&s=,42.2771027,-83.7380139,2000
Antler,ND,na,15,15,protest,https://www.washingtonpost.com/local/tens-of-thousands-expected-to-descend-on-washington-to-protest-trumps-immigration-policy/2018/06/30/0e4a6a26-7bde-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e519c6f81bb9,37.4534463,-81.6237191,15
Appleton,WI,at least a couple hundred,200,200,protest,https://act.moveon.org/event/families-belong-together/20152/signup/?source=&s=,44.2613975,-88.4068898,200
Arkville,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,42.1478659,-74.6198771,
Asbury Park,NJ,about 300,200,300,protest,https://act.moveon.org/event/families-belong-together/20302/signup/?source=&s=,40.2154926,-74.0201295,250
Asheville,NC,over 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/19994/signup/?source=&s=,35.5784237,-82.5887423,1000
Ashland,WI,more than 60,60,60,protest,https://act.moveon.org/event/families-belong-together/20432/signup/?source=&s=,46.520759,-90.927459,60
Astoria,OR,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20241/signup/?source=&s=,46.190608,-123.842826,200
Athens,GA,several hundred,300,300,protest,https://act.moveon.org/event/families-belong-together/20693/signup/?source=&s=,33.957873,-83.363807,300
Atlanta,GA,several thousand,3000,3000,protest,https://act.moveon.org/event/families-belong-together/19832/signup/?&source=&s=,33.7473132,-84.3953907,3000
Auburn,AL,over 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20124/signup/?source=&s=,32.547542,-85.468222,300
Auburn,ME,hundreds,200,200,protest,http://www.sunjournal.com/protesters-of-trumps-immigration-policies-organize-rallies-across-maine-nation/,44.0937519,-70.205994,200
Augusta,ME,nearly 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/19858/signup/?source=&s=,44.3071604,-69.7817977,1000
Aurora,CO,,,,protest,https://twitter.com/AuroraGunSense/status/1013089470353010689,39.729432,-104.8319196,
Aurora,IL,FB: 91,91,91,protest,http://www.chicagotribune.com/suburbs/aurora-beacon-news/news/ct-abn-aurora-vigil-st-0702-story.html,40.703718,-89.4035068,91
Austin,TX,estimated 8000,8000,10000,protest,https://act.moveon.org/event/families-belong-together/19862/signup/?source=&s=,30.2746871,-97.7404049,9000
