city,name,state,country,address,index
Aberdeen,Anderson Park,SD,US,,1
Abilene,Everman Park Downtown,TX,US,,2
Adrian,Old Lenawee County Courthouse,MI,US,,3
Akron,Main and Mill,OH,US,,4
Alameda,Intersection of Park St. & Santa Clara Ave.,CA,US,,5
Alamosa,Cole Park,CO,US,,6
Alamogordo,White Sands Boulevard,NM,US,,7
Albany,West Capitol Park,NY,US,,8
Albany,Linn County Courthouse,OR,US,,9
Albert Lea,Freeborn County Detention Center,MN,US,,10
Albuquerque,Civic Plaza,NM,US,,11
Alexandria,Kingstowne Towne Center (glassy area),VA,US,,12
Alliance,Box Butte County Courthouse,NE,US,,13
Alpine,Brewster County Courthouse lawn,TX,US,,14
Alvarado,Prairieland Detention Center,TX,US,,15
Amarillo,Sanborn Park,TX,US,,16
Ambler,Kohler Park Horsham,PA,US,,17
Anacortes,Corner of 12th and Commercial,WA,US,,18
Anchorage,Delaney Park Strip,AK,US,,19
Andalusia,Court Square,AL,US,,20
Anderson,Dickmann Town Center Park,IN,US,,21
Andover,Intersection of rt. 133 and rt. 28 (Shawsheen Square),MA,US,,22
Angels Camp,Utica Park,CA,US,,23
Angola,First Congregational United Church of Christ,IN,US,,24
Ann Arbor,The Diag,MI,US,,25
Antler,,ND,US,,26
Appleton,Houdini Plaza,WI,US,,27
Arkville,,NY,US,,28
Arlington Heights,Village Hall; North School Park,IL,US,,29
Asbury Park,Springwood Park,NJ,US,,30
Asheville,68 Haywood,NC,US,,31
Ashland,Ashland County Courthouse Lawn,WI,US,,32
Astoria,"Astoria, 16th and Marine Drive, river side",OR,US,,33
Athens,UGA Arch,GA,US,,34
Atlanta,Atlanta City Detention Center,GA,US,,35
Auburn,Toomer's Corner,AL,US,,36
Auburn,Longley Bridge,ME,US,,37
Augusta,Maine State House,ME,US,,38
Aurora,,CO,US,,39
Aurora,City Hall,IL,US,,40
Austin,Texas State Capitol,TX,US,,41
Avalon,Casino Building to Wrigley Stage,CA,US,,42
Bainbridge Island,Waypoint Park,WA,US,,43
Bakersfield,ICE Office 800 Truxtun Ave,CA,US,,44
Baltimore,Patterson Park,MD,US,,45
Bangor,Cascade Park,ME,US,,46
Bar Harbor,Bar Harbor Village Green,ME,US,,47
Barnstable,Barnstable Village,MA,US,,48
Barnstable,Unitarian Church of Barnstable,MA,US,,49
Barrington,In front of Rep. Peter Roskam's Barrington Office,IL,US,,50
Barstow,Fountain next to Union Bank,CA,US,,51
Bath,"In front of the Customs House, on Front Street ",ME,US,,52
Baton Rouge,US Border Patrol Office,LA,US,,53
Battle Creek,Calhoun County Justice Center,MI,US,,54
Bay St Louis + Pass Christian,Bay Bridge,MS,US,,55
Bayside,"Bell Blvd LIRR entrance, West Side of Street",NY,US,,56
Beacon,Polhill Park,NY,US,,57
Beaver,Beaver County Court House,PA,US,,58
Bedminster,Clarence Dillon Public Library,NJ,US,,59
Belchertown,Belchertown Common,MA,US,,60
Bellingham,Bellingham City Hall,WA,US,,61
Bend,NW Greenwood Ave & NW Bond St (NE Corner) - Diagonal from Walden's office,OR,US,,62
Berkeley,"Old City Hall Steps, 2134 Martin Luther King Jr Way",CA,US,,63
Bethlehem,Payrow Plaza,PA,US,,64
Big Rapids,Big Rapids Community Library,MI,US,,65
Billings,Yellowstone County Courthouse,MT,US,,66
Binghamton,Federal Building,NY,US,,67
Birmingham,Caldwell Park,AL,US,,68
Bisbee,Iron man statue/ Coshise County Court House,AZ,US,,69
Bishop,Bishop Park,CA,US,,70
Bloomington,Monroe County Courthouse,IN,US,,71
Bluffton,Bluffton Village Town Center,SC,US,,72
Boca Raton,Sanborn Square,FL,US,,73
Boise,Idaho State Capitol Building,ID,US,,74
Bonney Lake,18211 State Route 410 E,WA,US,,75
Bordentown,,NJ,US,,76
Boston,City Hall Plaza,MA,US,,77
Boston,South Bay House of Correction,MA,US,,78
Bothell,Intersection of Bothell Way NE and Woodinville Drive,WA,US,,79
Boulder,Unitarian Universalist Church of Boulder,CO,US,,80
Boulder,Walk around Thunderbird Lake at Frasier Meadows Retirement Community,CO,US,,81
Boulder City,,NV,US,,82
Bowling Green,Senator Rand Paul’s Office,KY,US,,83
Bowling Green,BG Green Space (Wooster Green),OH,US,,84
Bozeman,Bozeman Public Library,MT,US,,85
Brainerd,Along Washington Street near Brainerd Historic Water Tower,MN,US,,86
Brattleboro,Brattleboro Common,VT,US,,87
Bremerton,Evergreen Rotary Park,WA,US,,88
Brenham,Town Square,TX,US,,89
Brewster,1st Parish UU Church,MA,US,,90
Bridgeport,Sts. Peter and Paul Ukrainian Catholic Church,PA,US,,91
Bridgeton,Cumberland County Courthouse,NJ,US,,92
Bridgewater,Town Common,MA,US,,93
Bristol,Bristol Sign,TX,US,,94
Brookline,,MA,US,,95
Brooklyn,,NY,US,,96
Brownsville,Centro Cultural de Cameron Park,TX,US,,97
Brunswick,City Hall,GA,US,,98
Brunswick,Brunswick Town Hall,ME,US,,99
Bryan,Congressman Bill Flores' Bryan District Office,TX,US,,100
Buchanan,,TN,US,,101
Buffalo,US District Court for the Western District of New York,NY,US,,102
Burbank,,CA,US,,103
Burlington,Carolina Flea Market,NC,US,,104
Burlington,Burlington Municipal Building,NC,US,,105
Burlington,"Start at top of Church Street, end at Battery Park",VT,US,,106
Buzzards Bay,Bourne Bridge Rotary (Cape Cod side),MA,US,,107
Calexico,Imperial Regional Detention Facility [1572 Gateway Rd.],CA,US,,108
Camarillo,770 Paseo Camarillo,CA,US,,109
Canton,Canton Village Green,NY,US,,110
Cape May,Washington Mall,NJ,US,,111
Carbondale,First Presbyterian Church,IL,US,,112
Carlsbad,Cannon Park,CA,US,,113
Carlsbad,"Eddy County Courthouse Lawn, Canal Street",NM,US,,114
Carpinteria,Peace Corner,CA,US,,115
Casper,Pioneer Park,WY,US,,116
Cedar Falls,Outside the office of congressman Rod Blum,IA,US,,117
Cedar Rapids,Sokol Park,IA,US,,118
Chadron,Downtown Plaza,NE,US,,119
Champaign,Champaign public library to intersection of Green and Neil,IL,US,,120
Chandler,WF Chandler,AZ,US,,121
Chapel Hill,Chapel hill Court house,NC,US,,122
Charleston,Custom House,SC,US,,123
Charlotte,First Ward Park,NC,US,,124
Charlottesville,Albemarle County Office Building,VA,US,,125
Chatham,Sidewalk in front of Town Hall,MA,US,,126
Chattanooga,Renaissance Park/Coolidge Park,TN,US,,127
Chicago,Richard J. Daley Center,IL,US,,128
Chico,City Plaza,CA,US,,129
Cincinnati,Washington Park,OH,US,,130
Claremont,Memorial Park,CA,US,,131
Clermont,Sunnyside Plaza,FL,US,,132
Cleveland,Market Square Park,OH,US,,133
Clifton,Main Memorial Park,NJ,US,,134
Cobleskill,Veterans Park,NY,US,,135
Coeur d'Alene,Picnic Shelter Riverstone Park,ID,US,,136
Colorado Springs,City Hall,CO,US,,137
Colrain,,MA,US,,138
Columbia,Boone County Courthouse,MO,US,,139
Columbia,South Carolina State House,SC,US,,140
Columbus,Ohio Statehouse,OH,US,,141
Columbus,the plaza in Colombus to the Puerto Palomas border crossing,NM,US,,142
Concord,Todos Santos Plaza,CA,US,,143
Concord,NH State House,NH,US,,144
